harness,method,N,seed,note
sweep,pso,30,1994881067,assumes n_clients == N (empty shards may reduce it on real data)
sweep,ga,30,519769455,assumes n_clients == N (empty shards may reduce it on real data)
sweep,centroid,30,444823861,assumes n_clients == N (empty shards may reduce it on real data)
sweep,random,30,2016439199,assumes n_clients == N (empty shards may reduce it on real data)
sweep,static,30,1851849005,assumes n_clients == N (empty shards may reduce it on real data)
sweep,no_uav,30,522202849,assumes n_clients == N (empty shards may reduce it on real data)
sweep,pso,50,1995039447,assumes n_clients == N (empty shards may reduce it on real data)
sweep,ga,50,519927835,assumes n_clients == N (empty shards may reduce it on real data)
sweep,centroid,50,444982241,assumes n_clients == N (empty shards may reduce it on real data)
sweep,random,50,2016597579,assumes n_clients == N (empty shards may reduce it on real data)
sweep,static,50,1852007385,assumes n_clients == N (empty shards may reduce it on real data)
sweep,no_uav,50,522361229,assumes n_clients == N (empty shards may reduce it on real data)
sweep,pso,100,1995435397,assumes n_clients == N (empty shards may reduce it on real data)
sweep,ga,100,520323785,assumes n_clients == N (empty shards may reduce it on real data)
sweep,centroid,100,445378191,assumes n_clients == N (empty shards may reduce it on real data)
sweep,random,100,2016993529,assumes n_clients == N (empty shards may reduce it on real data)
sweep,static,100,1852403335,assumes n_clients == N (empty shards may reduce it on real data)
sweep,no_uav,100,522757179,assumes n_clients == N (empty shards may reduce it on real data)
sweep,pso,150,1995831347,assumes n_clients == N (empty shards may reduce it on real data)
sweep,ga,150,520719735,assumes n_clients == N (empty shards may reduce it on real data)
sweep,centroid,150,445774141,assumes n_clients == N (empty shards may reduce it on real data)
sweep,random,150,2017389479,assumes n_clients == N (empty shards may reduce it on real data)
sweep,static,150,1852799285,assumes n_clients == N (empty shards may reduce it on real data)
sweep,no_uav,150,523153129,assumes n_clients == N (empty shards may reduce it on real data)
sweep,pso,200,1996227297,assumes n_clients == N (empty shards may reduce it on real data)
sweep,ga,200,521115685,assumes n_clients == N (empty shards may reduce it on real data)
sweep,centroid,200,446170091,assumes n_clients == N (empty shards may reduce it on real data)
sweep,random,200,2017785429,assumes n_clients == N (empty shards may reduce it on real data)
sweep,static,200,1853195235,assumes n_clients == N (empty shards may reduce it on real data)
sweep,no_uav,200,523549079,assumes n_clients == N (empty shards may reduce it on real data)
sweep,pso,250,1996623247,assumes n_clients == N (empty shards may reduce it on real data)
sweep,ga,250,521511635,assumes n_clients == N (empty shards may reduce it on real data)
sweep,centroid,250,446566041,assumes n_clients == N (empty shards may reduce it on real data)
sweep,random,250,2018181379,assumes n_clients == N (empty shards may reduce it on real data)
sweep,static,250,1853591185,assumes n_clients == N (empty shards may reduce it on real data)
sweep,no_uav,250,523945029,assumes n_clients == N (empty shards may reduce it on real data)
